The Police,Ghost in the Machine,5jkwdY6jS1Hzi8epr6HW7h
David Bowie,Station to Station,0MWrKayUshRuT8maG4ZAOU
Eric Clapton,Slowhand,5MAL7e4EnKXW1hFg6NbFqP
The Cure,Disintegration,6vQB3ZBxnQPP3jQcGV2qzg
Liz Phair,Exile in Guyville,444zYF83XQOTXmjke2JWU9
Sonic Youth,Daydream Nation,23O4F21GDWiGd33tFN3ZgI
James Brown,In the Jungle Groove,22uHiVyy0IVDTvbJ1kSscV
Neil Young,Tonight's the Night,6mWE1yQJVHa6JnDCLjz1Mk
The Beatles,Help,0PT5m6hwPRrpBwIHVnvbFX
Richard & Linda Thompson,Shoot Out the Lights,4xX94uM6Kf972DJurGKnbb
X,Wild Gift,2ECSVdWu5RCvYqIRGA0pyR
Graham Parker & The Rumour,Squeezing Out Sparks,4ZImzDF35hQWiN5FdAqQbN
Soundgarden,Superunknown,29sTacnS0qA9xri6YS8xLA
Radiohead,In Rainbows,7eyQXxuf2nGj9d2367Gi5f
Jethro Tull,Aqualung,0NGM3Ftwjw0dLNpAowmz3x
Big Brother & the Holding Company,Cheap Thrills,2rogKfOpmCFuqNhtGKf2dX
Tom Waits,The Heart of Saturday Night,2fnWxy7UoIazBiewjgchvm
Black Flag,Damaged,1gZ3Wi966cliRIktXiaWij
Moby,Play,4rJgzzfFHAVFhCSt2P4I3j
Depeche Mode,Violator,5g3Yi15plTSMaq6tYiuw8p
Meat Loaf,Bat Out of Hell,6mvI80w5r78niBmwtu7RF9
Lou Reed,Berlin,19XIEBHi3FqqKJM9ohidpJ
Talking Heads,Stop Making Sense,4FR8Z6TvIsC56NLyNomNRE
Pink Floyd,The Piper at the Gates of Dawn,2Se4ZylF9NkFGD92yv1aZC
Muddy Waters,Muddy Waters at Newport 1960,7gTcPv1bE0THbjuvDbK1gq
Jay Z,The Black Album,4FWvo9oS4gRgHtAwDwUjiO
The Yardbirds,Roger the Engineer,3s6wTRMDispMa4gCd26FPc
Neil Young & Crazy Horse,Rust Never Sleeps,2QqocFdpBkxOBLcIRo6UuJ
Dire Straits,Brothers in Arms,7jvcSnCnugLcisBCNBm60s
Kanye West,My Beautiful Dark Twisted Fantasy,20r762YmB5HeofjMCiPMLv
Billy Joel,52nd Street,1HmCO8VK98AU6EXPOjGYyI
The Yardbirds,Having a Rave Up,5SC92pfXSbQvZjgfk0oGno
Randy Newman,12 Songs,5jxMth5zvt6qZId5Llplqi
The Rolling Stones,Between the Buttons,36BIYdP4WtviD9Ngqc4SK5
Miles Davis,Sketches of Spain,2xyhltm9XWSQ5xok4C81BD
Buzzcocks,Singles Going Steady,6TxgQwGrbG3XZLNPOEhg7E
OutKast,Stankonia,2tm3Ht61kqqRZtIYsBjxEj
The Smashing Pumpkins,Siamese Dream,0bQglEvsHphrS19FGODEGo
The Doors,L.A. Woman,7IKUTIc9UWuVngyGPtqNHS
Rage Against the Machine,Rage Against the Machine,4Io5vWtmV1rFj4yirKb4y4
Johnny Cash,American Recordings,19rYWxZfMdEOxTDODFjLyb
Madonna,Ray of Light,6cuNyrSmRjBeekioLdLkvI
Eagles,Eagles,51B7LbLWgYLKBVSpkan8Z7
The Smiths,Louder Than Bombs,45StnugV9WQMQwk4rRoTy8
Mott the Hoople,Mott,3ApRy4edE6ZYi081aFpq4s
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",0ndGMh4twJNzPpr5XtHTR2
The Police,Reggatta de Blanc,2EpuND32cO7CX0gXZl2NB6
Jefferson Airplane,Volunteers,5SxBU3zQaLOq5eapsG3jFQ
Roxy Music,Siren,1vHYkIhnwbpzrC3hGguDN6
Jackson Browne,Late for the Sky,0aiTqo8YZI0dKDgcCnkkzP
Bjork,Post,0e1WaSNDZnoPixaxDNdWo4
Oasis,(What's the Story) Morning Glory,2u30gztZTylY4RG7IvfXs8
TLC,CrazySexyCool,5eg56dCpFn32neJak2vk0f
Toots & The Maytals,Funky Kingston,7a341nZsSfwyBsq1tMPETz
The Beach Boys,The Smile Sessions,01TG7VOg4F90jXv3a1yCgA
